,Domain,Supergroup,Phylum,Worden_Taxonomy,Salmaso_Phyto,Salmaso_Taxonomy,Class,Order,Family,Genus,Species,ASV,Root,,Large_Scale,Worden_Phyto,Worden_Taxonomy2,All_Taxonomy,Diatoms_Curated,Diatoms_Curated_Top_10,Root_confidence,Domain_confidence,Supergroup_confidence,Phylum_confidence,Class_confidence,Order_confidence,Family_confidence,Genus_confidence,Species_confidence
cfdffee1023a4d77f9d955f6518f3b33,Eukaryota,Alveolata,Apicomplexa,,,,Gregarinomorphea,Eugregarinorida,unclassified_Eugregarinorida,,,cfdffee1023a4d77f9d955f6518f3b33,Root,,Apicomplexa,,,Alveolata,,,79.4,79.4,79.4,79.4,79.4,79.4,79.4,,
d070033633026f292e36ec7cf362efc5,Eukaryota,Alveolata,Apicomplexa,,,,Gregarinomorphea,Eugregarinorida,unclassified_Eugregarinorida,,,d070033633026f292e36ec7cf362efc5,Root,,Apicomplexa,,,Alveolata,,,71.5,69.8,67.4,66.5,66.5,66.5,66.5,,
e8b3fa3c412d5e1b9def6634a5a1cae2,Eukaryota,Alveolata,Apicomplexa,,,,Gregarinomorphea,Eugregarinorida,unclassified_Eugregarinorida,,,e8b3fa3c412d5e1b9def6634a5a1cae2,Root,,Apicomplexa,,,Alveolata,,,70,70,67,67,67,67,67,,
f7ac8c78dd513c84c7f943b06d92535e,Eukaryota,Alveolata,Apicomplexa,,,,Gregarinomorphea,Eugregarinorida,unclassified_Eugregarinorida,,,f7ac8c78dd513c84c7f943b06d92535e,Root,,Apicomplexa,,,Alveolata,,,69.3,69.3,68.4,68.4,68.4,68.4,68.4,,
fc28ba13ee20ed06c5440c4f02c85c21,Eukaryota,Alveolata,Apicomplexa,,,,Gregarinomorphea,Eugregarinorida,unclassified_Eugregarinorida,,,fc28ba13ee20ed06c5440c4f02c85c21,Root,,Apicomplexa,,,Alveolata,,,68.6,68.6,65.7,65.7,65.7,65.7,65.7,,
0d37a0293468fd269cc58e63113d81dc,Eukaryota,Alveolata,Chrompodellids,,,,Colpodellidea,Colpodellida,Colpodellida_CHR1,Colpodellida_CHR1_X,Colpodellida_CHR1_X_sp.,0d37a0293468fd269cc58e63113d81dc,Root,,Chrompodellids,,,Alveolata,,,94.6,94.6,94.6,94.6,94.6,94.6,93.1,93.1,93.1
2b6a4c4578f2fef6e23258cfa973a6a6,Eukaryota,Alveolata,Chrompodellids,,,,Colpodellidea,Colpodellida,Alphamonaceae,Aphamonas,Aphamonas_edax,2b6a4c4578f2fef6e23258cfa973a6a6,Root,,Chrompodellids,,,Alveolata,,,99.4,99.4,99.4,95.6,95.6,95.6,95.6,95.6,91.2
1506c4952ef56da65823940ddded982b,Eukaryota,Alveolata,Ciliophora,Ciliophora,,,Armophorea,Armophorea_X,unclassified_Armophorea_X,,,1506c4952ef56da65823940ddded982b,Root,,Ciliophora,Mixed,Ciliophora,Ciliophora,,,82,82,82,75.8,68,68,68,,
72ab0b4929d3781f0527952f14be361c,Eukaryota,Alveolata,Ciliophora,Ciliophora,,,Armophorea,Armophorea_X,Armophorea_XX,Metopus_2,Metopus_laminarius,72ab0b4929d3781f0527952f14be361c,Root,,Ciliophora,Mixed,Ciliophora,Ciliophora,,,91.2,91.2,89.7,89.7,88,88,67.1,63.6,60.8
a41c67b932008c86869dcf36cb294553,Eukaryota,Alveolata,Ciliophora,Ciliophora,,,Armophorea,Armophorea_X,unclassified_Armophorea_X,,,a41c67b932008c86869dcf36cb294553,Root,,Ciliophora,Mixed,Ciliophora,Ciliophora,,,77.6,77.6,77.6,77.6,74.1,74.1,74.1,,
